"imageUrl","title","totalScore","reviewsCount","state","city","phone","categoryName","description","placeId","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours"
"https://lh5.googleusercontent.com/p/AF1QipNqb2OJuyanejJ7jhEUl_rDJA1RGFKAwwxFtbnO=w426-h240-k-no","Taman Mini Indonesia Indah","4.6","164271","Daerah Khusus Ibukota Jakarta","Kota Jakarta Timur","+62 804 178 9789","Tujuan Wisata","Taman yang memamerkan budaya & alam Indonesia melalui museum, taman, & replika pemandangan terkenal.","ChIJYaJ20FDtaS4RDNry7LknMQc","-6.3020386","106.8898924","Minggu","05.00 to 20.00","Senin","05.00 to 20.00","Selasa","05.00 to 20.00","Rabu","05.00 to 20.00","Kamis","05.00 to 20.00","Jumat","05.00 to 20.00","Sabtu","05.00 to 20.00"
"https://lh5.googleusercontent.com/p/AF1QipOn3hFKmtjwGEtq0RGcd5b3d6vkz_0jiCXOukdq=w480-h240-k-no","Taman Nasional Kepulauan Seribu","4.6","555","Daerah Khusus Ibukota Jakarta","Kab. Administrasi Kepulauan Seribu",,"Taman Nasional","Penyu, snorkeling & menyelam di taman alam yang tersebar di Kepulauan Seribu.","ChIJV76SdxB0ai4R6i8m2WMA3BA","-5.7453663","106.6151821","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipOWukUeSfOPISd26q73qG80FNft9j_FbFSVqOQ0=w408-h544-k-no","Pantai Pasir Perawan","4.8","717","Daerah Khusus Ibukota Jakarta","Kab. Administrasi Kepulauan Seribu","+62 857-1048-1038","Tujuan Wisata",,"ChIJJwPdECILai4RbBeZQ3Q7K6M","-5.854806","106.6225341","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipOeMX-va-ytzz9gosd3CG1zmQHeZu5Jy7k0Xncj=w408-h306-k-no","Wisata pulau","4.6","441","Daerah Khusus Ibukota Jakarta","Kab. Administrasi Kepulauan Seribu","+62 858-8930-2170","Biro Wisata","Pantai pulau simpel dengan air jernih, serta kura-kura, bintang laut & satwa laut lain.","ChIJbQox7JsLai4RCqCG70z2QmQ","-5.9343153","106.5875699","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipOD1-TaogIumS_MBNI2TXVFyddXqWxOj0w3BD2R=w426-h240-k-no","Wisata pantai. Pulau pari","4.6","862","Daerah Khusus Ibukota Jakarta","Kab. Administrasi Kepulauan Seribu","+62 858-8930-7268","Tujuan Wisata",,"ChIJgR1YbpkLai4RHODC5HAJyOA","-5.8627508","106.6120577","Minggu","Buka 24 jAM","Senin","Buka 24 jAM","Selasa","Buka 24 jAM","Rabu","Buka 24 jAM","Kamis","Buka 24 jAM","Jumat","Buka 24 jAM","Sabtu","Buka 24 jAM"
"https://lh5.googleusercontent.com/p/AF1QipNT4_qzjJ_yO4ksNq9-_-J5aMNjFLiV1xwAKTK5=w408-h725-k-no","Taman Suropati","4.6","21392","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Tujuan Wisata","Taman kota yang dibangun tahun 1920 dengan beberapa ukiran & air mancur, jalur paving block & bangku.","ChIJ-S4F5Bb0aS4RgVq6v81ZM4s","-6.199387","106.8326333","Minggu","06.30 to 17.00","Senin","06.30 to 17.00","Selasa","06.30 to 17.00","Rabu","06.30 to 17.00","Kamis","06.30 to 17.00","Jumat","06.30 to 17.00","Sabtu","06.30 to 17.00"
"https://lh5.googleusercontent.com/p/AF1QipOdVuewzzaFdJRmBBmLQneEFPiHAbJR_ew5Rc_W=w421-h240-k-no","Masjid Istiqlal","4.8","14200","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat","+62 21 3811708","Tujuan Wisata","Masjid terbesar di Asia Tenggara dengan desain kontemporer.","ChIJHeC1aM71aS4RbAyE1ULw-so","-6.17017","106.83139","Minggu","04.00 to 22.00","Senin","04.00 to 22.00","Selasa","04.00 to 22.00","Rabu","04.00 to 22.00","Kamis","04.00 to 22.00","Jumat","04.00 to 22.00","Sabtu","04.00 to 22.00"
"https://lh5.googleusercontent.com/p/AF1QipPlGVmU8PG6IyEQNe_yROnm4sKxtq0l-pc2tBwW=w408-h306-k-no","Monumen Nasional","4.6","114792","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat","+62 21 3853040","Tujuan Wisata","Tugu terkenal yang dibangun untuk memperingati kemerdekaan Indonesia dari penjajahan Belanda.","ChIJLbFk59L1aS4RyLzp4OHWKj0","-6.1753924","106.8271528","Minggu","06.00 to 16.00","Senin","06.00 to 16.00","Selasa","06.00 to 16.00","Rabu","06.00 to 16.00","Kamis","06.00 to 16.00","Jumat","06.00 to 16.00","Sabtu","06.00 to 16.00"
"https://lh5.googleusercontent.com/p/AF1QipO1PdLpBQFynh983bd3aeQlPEqwYZyvu-fbu4Cl=w408-h306-k-no","Taman Menteng","4.5","20505","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Tujuan Wisata","Taman publik seluas 30 hektar dengan kebun, arena bermain, lapangan olahraga, & sumur resapan.","ChIJKeQOsCL0aS4RLuH7DlpcjaI","-6.1964087","106.8293106",,,,,,,,,,,,,,
"https://lh5.googleusercontent.com/p/AF1QipPF7BI-zXoIG_mqrvByuUrUyJ16tb-i3dDE5AHT=w426-h240-k-no","Dancing Fountain Show Grand Indonesia","4.1","40","Daerah Khusus Ibukota Jakarta","Kota Jakarta Pusat",,"Tujuan Wisata",,"ChIJMZYnRCD0aS4RAJ1J8BBNI9I","-6.1954962","106.8198019",,,,,,,,,,,,,,
